OLP_28
PC-PseAAC_5
GGAP_5
BIT21_12
PC-PseAAC_7
GGAP_14
OLP_24
PC-PseAAC_3
GGAP_17
BIT20_8
OLP_40
GGAP_13
OLP_20
PC-PseAAC_12
GGAP_1
BIT20_12
PC-PseAAC_4
OLP_16
GGAP_11
OLP_32
BIT21_4
GGAP_15
PC-PseAAC_8
OLP_12
GGAP_6
PC-PseAAC_2
BIT21_8
GGAP_8
PC-PseAAC_17
OLP_8
GGAP_12
BIT20_36
PC-PseAAC_11
OLP_4
PC-PseAAC_1
BIT20_4
GGAP_0
BIT21_16
PC-PseAAC_0
OLP_36
GGAP_9
BIT21_24
GGAP_2
BIT21_20
AAC
GGAP_10
BIT21_28
PC-PseAAC_6
BIT20_40
GGAP_4
BIT20_28
PC-PseAAC_10
BIT20_20
PC-PseAAC_16
GGAP_16
BIT20_32
BIT21_32
BIT20_24
GGAP_7
PC-PseAAC_15
BIT20_16
PC-PseAAC_13
GGAP_3
BIT21_36
PC-PseAAC_14
BIT21_40
PC-PseAAC_9
